path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,duplicate_of
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1785941700-2026-08-10.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-10.txt.zst,polymarket-btc-5m_2026-08-10.zip,1785941700,1785942000,False,195,193,0,0,2,191,0,,,301,UNKNOWN,not_extreme,,,0.016850948333740234,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-11.zip::polymarket-btc-updown-5m-1785941700-2026-08-11.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-11.txt.zst,polymarket-btc-5m_2026-08-11.zip,1785941700,1785942000,False,203,191,0,0,7,184,0,,,301,UP,quotes,0.99,,0.011053800582885742,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1785941700-2026-08-14.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1785941700,1785942000,False,191,187,0,0,3,184,0,,,301,UP,quotes,0.99,,0.022581100463867188,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1785941700-2026-08-15.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1785941700,1785942000,False,182,180,0,0,1,179,0,,,301,UNKNOWN,not_extreme,,,0.016213655471801758,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-16.zip::polymarket-btc-updown-5m-1785941700-2026-08-16.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-16.txt.zst,polymarket-btc-5m_2026-08-16.zip,1785941700,1785942000,False,202,200,0,0,1,199,0,,,301,UNKNOWN,not_extreme,,,0.010866880416870117,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-17.zip::polymarket-btc-updown-5m-1785941700-2026-08-17.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-17.txt.zst,polymarket-btc-5m_2026-08-17.zip,1785941700,1785942000,False,196,194,0,0,1,193,0,,,301,UNKNOWN,not_extreme,,,0.011033296585083008,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786320000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786320000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786320000,1786320300,False,37393,36864,30152,476,558,36306,0,0.0,59.312,301,UNKNOWN,not_extreme,0.235,,0.619499921798706,,leader_confirm_too_soon_after_pullback,DOWN,5.58,9.853,10.439,,,,,leader_confirm_too_soon_after_pullback,DOWN,6.0,10.0,20.0,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786320000-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786318500-2026-08-10.txt.zst,polymarket-btc-updown-5m-1786318500-2026-08-10.txt.zst,polymarket-btc-5m_2026-08-10.zip,1786318500,1786318800,False,4,1,0,0,1,0,0,,,301,UNKNOWN,not_extreme,,,0.01638197898864746,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786318500-2026-08-09.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786320900-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786320900-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786320900,1786321200,False,2710,2701,0,0,8,2693,0,,,301,UNKNOWN,not_extreme,0.505,,0.02299809455871582,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786320900-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786320600-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786320600-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786320600,1786320900,False,3978,3972,0,0,5,3967,0,,,301,UNKNOWN,not_extreme,0.505,,0.0513608455657959,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786320600-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786320300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786320300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786320300,1786320600,False,5099,5093,0,0,5,5088,0,,,301,UNKNOWN,not_extreme,0.505,,0.06928205490112305,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786320300-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786321800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786321800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786321800,1786322100,False,669,666,0,0,2,664,0,,,301,UNKNOWN,not_extreme,0.505,,0.010948896408081055,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786321800-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786321500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786321500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786321500,1786321800,False,788,784,0,0,3,781,0,,,301,UNKNOWN,not_extreme,0.505,,0.01241302490234375,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786321500-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786322100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786322100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786322100,1786322400,False,607,604,0,0,2,602,0,,,301,UNKNOWN,not_extreme,0.505,,0.0062220096588134766,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786322100-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786322400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786322400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786322400,1786322700,False,599,596,0,0,2,594,0,,,301,UNKNOWN,not_extreme,0.505,,0.0059278011322021484,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786322400-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786321200-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786321200-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786321200,1786321500,False,1573,1569,0,0,3,1566,0,,,301,UNKNOWN,not_extreme,0.505,,0.022235870361328125,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786321200-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786323300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786323300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786323300,1786323600,False,562,560,0,0,1,559,0,,,301,UNKNOWN,not_extreme,0.505,,0.007138967514038086,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786323300-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786322700-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786322700-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786322700,1786323000,False,556,554,0,0,1,553,0,,,301,UNKNOWN,not_extreme,0.505,,0.0154571533203125,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786322700-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786323000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786323000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786323000,1786323300,False,651,649,0,0,1,648,0,,,301,UNKNOWN,not_extreme,0.505,,0.018651247024536133,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786323000-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786323600-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786323600-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786323600,1786323900,False,506,504,0,0,1,503,0,,,301,UNKNOWN,not_extreme,0.505,,0.012417078018188477,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786323600-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786323900-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786323900-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786323900,1786324200,False,430,428,0,0,1,427,0,,,301,UNKNOWN,not_extreme,0.505,,0.0060617923736572266,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786323900-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786324200-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786324200-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786324200,1786324500,False,452,450,0,0,1,449,0,,,301,UNKNOWN,not_extreme,0.505,,0.005308866500854492,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786324200-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786324500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786324500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786324500,1786324800,False,511,509,0,0,1,508,0,,,301,UNKNOWN,not_extreme,0.505,,0.005362987518310547,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786324500-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786324800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786324800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786324800,1786325100,False,495,493,0,0,1,492,0,,,301,UNKNOWN,not_extreme,0.505,,0.006331920623779297,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786324800-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786325100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786325100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786325100,1786325400,False,441,439,0,0,1,438,0,,,301,UNKNOWN,not_extreme,0.505,,0.005002737045288086,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786325100-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786325400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786325400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786325400,1786325700,False,452,448,0,0,3,445,0,,,301,UNKNOWN,not_extreme,0.505,,0.005572795867919922,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786325400-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786326000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786326000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786326000,1786326300,False,450,448,0,0,1,447,0,,,301,UNKNOWN,not_extreme,0.505,,0.005102872848510742,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786326000-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786325700-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786325700-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786325700,1786326000,False,454,452,0,0,1,451,0,,,301,UNKNOWN,not_extreme,0.505,,0.006979227066040039,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786325700-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786326300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786326300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786326300,1786326600,False,429,427,0,0,1,426,0,,,301,UNKNOWN,not_extreme,0.505,,0.006461143493652344,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786326300-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786326900-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786326900-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786326900,1786327200,False,426,424,0,0,1,423,0,,,301,UNKNOWN,not_extreme,0.505,,0.00793910026550293,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786326900-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786326600-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786326600-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786326600,1786326900,False,411,409,0,0,1,408,0,,,301,UNKNOWN,not_extreme,0.505,,0.004602193832397461,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786326600-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786327200-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786327200-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786327200,1786327500,False,360,358,0,0,1,357,0,,,301,UNKNOWN,not_extreme,0.505,,0.00539708137512207,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786327200-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786327500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786327500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786327500,1786327800,False,336,334,0,0,1,333,0,,,301,UNKNOWN,not_extreme,0.505,,0.004681110382080078,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786327500-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786327800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786327800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786327800,1786328100,False,375,373,0,0,1,372,0,,,301,UNKNOWN,not_extreme,0.505,,0.004576921463012695,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786327800-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786328100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786328100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786328100,1786328400,False,313,311,0,0,1,310,0,,,301,UNKNOWN,not_extreme,0.505,,0.005377054214477539,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786328100-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786328700-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786328700-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786328700,1786329000,False,321,319,0,0,1,318,0,,,301,UNKNOWN,not_extreme,0.505,,0.004258871078491211,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786328700-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786328400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786328400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786328400,1786328700,False,375,373,0,0,1,372,0,,,301,UNKNOWN,not_extreme,0.505,,0.01870107650756836,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786328400-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786329000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786329000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786329000,1786329300,False,337,335,0,0,1,334,0,,,301,UNKNOWN,not_extreme,0.505,,0.0169830322265625,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786329000-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786329300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786329300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786329300,1786329600,False,341,339,0,0,1,338,0,,,301,UNKNOWN,not_extreme,0.505,,0.017416000366210938,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786329300-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786329600-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786329600-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786329600,1786329900,False,326,324,0,0,1,323,0,,,301,UNKNOWN,not_extreme,0.505,,0.0040781497955322266,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786329600-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786329900-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786329900-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786329900,1786330200,False,345,343,0,0,1,342,0,,,301,UNKNOWN,not_extreme,0.505,,0.004258155822753906,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786329900-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786330200-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786330200-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786330200,1786330500,False,319,317,0,0,1,316,0,,,301,UNKNOWN,not_extreme,0.505,,0.004195213317871094,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786330200-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786330500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786330500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786330500,1786330800,False,302,300,0,0,1,299,0,,,301,UNKNOWN,not_extreme,0.505,,0.004008054733276367,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786330500-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786330800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786330800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786330800,1786331100,False,326,324,0,0,1,323,0,,,301,UNKNOWN,not_extreme,0.505,,0.007356882095336914,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786330800-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786331400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786331400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786331400,1786331700,False,287,285,0,0,1,284,0,,,301,UNKNOWN,not_extreme,0.505,,0.006928920745849609,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786331400-2026-08-10.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786331100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786331100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786331100,1786331400,False,321,319,0,0,1,318,0,,,301,UNKNOWN,not_extreme,0.505,,0.00806879997253418,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786331100-2026-08-10.txt.zst
